tags,long,lat,dTime,source_file
254026_0,-122.9268526,37.43781061,2024-04-19T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.7289765,37.51318685,2024-04-19T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.596133,37.44299926,2024-04-19T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.6477639,37.39974752,2024-04-20T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.621625,37.41760399,2024-04-20T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.6162155,37.39665497,2024-04-20T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.6598617,37.39370307,2024-04-20T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.561533,37.38867411,2024-04-21T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.5054631,37.34485275,2024-04-21T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.5026745,37.25356122,2024-04-21T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.6574703,37.07179053,2024-04-21T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.5209872,36.75000869,2024-04-22T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.3790888,36.60682048,2024-04-22T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.4552688,36.82859336,2024-04-22T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.4552125,36.96109904,2024-04-22T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.3175548,37.03998415,2024-04-23T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.3163234,37.069715,2024-04-23T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.5465296,37.13272226,2024-04-23T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.7276439,37.28809457,2024-04-23T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.8008909,37.37150056,2024-04-24T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.8680874,37.38151832,2024-04-24T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.9457394,37.43624737,2024-04-24T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.9888367,37.41123471,2024-04-24T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.9054504,37.53680621,2024-04-25T05:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-122.9864111,37.69716681,2024-04-25T11:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.213082,37.76384739,2024-04-25T17:00:00Z,254026-RawArgos_pred_6h.csv
254026_0,-123.1418028,37.85933616,2024-04-25T23:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.2837,36.3145,2024-05-14T18:00:00Z,254026-RawArgos_pred_6h.csv
