DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment,lon,lat
254030,254030,UT,00:37:59 16-Apr-2024,Argos,B,37.2714,-122.5377,3264,5290,2014,93,NA,NA,NA,NA,NA,NA,-122.5377,37.2714
254030,254030,UT,02:18:05 16-Apr-2024,Argos,A,37.307,-122.5406,95,140,64,173,NA,NA,NA,NA,NA,NA,-122.5406,37.307
254030,254030,UT,02:19:37 16-Apr-2024,Argos,B,37.2912,-122.5503,2638,4554,1527,77,NA,NA,NA,NA,NA,NA,-122.5503,37.2912
254030,254030,UT,02:26:55 16-Apr-2024,Argos,B,37.2943,-122.5487,1419,21309,94,174,NA,NA,NA,NA,NA,NA,-122.5487,37.2943
254030,254030,UT,03:31:49 16-Apr-2024,Argos,B,37.3341,-122.5668,746,5373,103,75,NA,NA,NA,NA,NA,NA,-122.5668,37.3341
254030,254030,UT,04:06:08 16-Apr-2024,Argos,2,37.3378,-122.5935,448,660,303,112,NA,NA,NA,NA,NA,NA,-122.5935,37.3378
254030,254030,UT,05:01:32 16-Apr-2024,Argos,B,37.3467,-122.5827,1445,2328,896,86,NA,NA,NA,NA,NA,NA,-122.5827,37.3467
254030,254030,UT,06:21:25 16-Apr-2024,Argos,0,37.366,-122.5791,25399,940127,686,78,NA,NA,NA,NA,NA,NA,-122.5791,37.366
254030,254030,UT,08:14:57 16-Apr-2024,Argos,3,37.3672,-122.5977,241,482,120,83,NA,NA,NA,NA,NA,NA,-122.5977,37.3672
254030,254030,UT,12:50:30 16-Apr-2024,Argos,B,37.3638,-122.5792,2545,40468,160,28,NA,NA,NA,NA,NA,NA,-122.5792,37.3638
254030,254030,UT,12:53:01 16-Apr-2024,Argos,B,37.3477,-122.615,4263,8490,2140,74,NA,NA,NA,NA,NA,NA,-122.615,37.3477
254030,254030,UT,14:43:16 16-Apr-2024,Argos,B,37.347,-122.6118,2388,7073,806,81,NA,NA,NA,NA,NA,NA,-122.6118,37.347
254030,254030,UT,16:22:03 16-Apr-2024,Argos,B,37.3522,-122.61,2190,3759,1275,95,NA,NA,NA,NA,NA,NA,-122.61,37.3522
254030,254030,UT,17:15:01 16-Apr-2024,Argos,B,37.3422,-122.5563,2021,2381,1715,84,NA,NA,NA,NA,NA,NA,-122.5563,37.3422
254030,254030,UT,17:21:43 16-Apr-2024,Argos,B,37.3312,-122.5611,1920,2513,1466,96,NA,NA,NA,NA,NA,NA,-122.5611,37.3312
254030,254030,UT,19:00:01 16-Apr-2024,Argos,B,37.3239,-122.5439,2285,3122,1672,97,NA,NA,NA,NA,NA,NA,-122.5439,37.3239
254030,254030,UT,20:18:57 16-Apr-2024,Argos,A,37.3033,-122.5588,127,400,40,110,NA,NA,NA,NA,NA,NA,-122.5588,37.3033
254030,254030,UT,20:23:10 16-Apr-2024,Argos,B,37.3033,-122.5584,310,425,225,98,NA,NA,NA,NA,NA,NA,-122.5584,37.3033
254030,254030,UT,23:58:28 16-Apr-2024,Argos,A,37.3049,-122.5501,306,1584,59,45,NA,NA,NA,NA,NA,NA,-122.5501,37.3049
254030,254030,UT,01:21:21 17-Apr-2024,Argos,B,37.2894,-122.5437,1202,1732,833,84,NA,NA,NA,NA,NA,NA,-122.5437,37.2894
254030,254030,UT,01:43:53 17-Apr-2024,Argos,B,37.259,-122.5681,1879,4713,748,105,NA,NA,NA,NA,NA,NA,-122.5681,37.259
254030,254030,UT,02:01:03 17-Apr-2024,Argos,B,37.2472,-122.5202,1870,6535,535,6,NA,NA,NA,NA,NA,NA,-122.5202,37.2472
254030,254030,UT,03:28:12 17-Apr-2024,Argos,B,37.2542,-122.5077,2474,3745,1633,107,NA,NA,NA,NA,NA,NA,-122.5077,37.2542
254030,254030,UT,03:39:55 17-Apr-2024,Argos,B,37.2665,-122.502,1016,19279,53,119,NA,NA,NA,NA,NA,NA,-122.502,37.2665
254030,254030,UT,04:36:44 17-Apr-2024,Argos,B,37.2594,-122.4917,1241,2390,643,102,NA,NA,NA,NA,NA,NA,-122.4917,37.2594
254030,254030,UT,04:44:54 17-Apr-2024,Argos,B,37.2557,-122.507,1413,2932,681,89,NA,NA,NA,NA,NA,NA,-122.507,37.2557
254030,254030,UT,06:09:40 17-Apr-2024,Argos,B,37.264,-122.5076,1446,52787,39,76,NA,NA,NA,NA,NA,NA,-122.5076,37.264
254030,254030,UT,06:15:33 17-Apr-2024,Argos,A,37.263,-122.5229,128,166,97,83,NA,NA,NA,NA,NA,NA,-122.5229,37.263
254030,254030,UT,06:28:00 17-Apr-2024,Argos,B,37.2629,-122.5234,498,637,388,89,NA,NA,NA,NA,NA,NA,-122.5234,37.2629
254030,254030,UT,07:30:44 17-Apr-2024,Argos,B,37.2697,-122.5293,1106,1531,798,75,NA,NA,NA,NA,NA,NA,-122.5293,37.2697
254030,254030,UT,12:07:49 17-Apr-2024,Argos,B,37.3171,-122.5331,2238,3812,1313,79,NA,NA,NA,NA,NA,NA,-122.5331,37.3171
254030,254030,UT,13:42:59 17-Apr-2024,Argos,B,37.3257,-122.5392,1854,78819,43,101,NA,NA,NA,NA,NA,NA,-122.5392,37.3257
254030,254030,UT,14:04:22 17-Apr-2024,Argos,B,37.3439,-122.5789,1420,28780,70,92,NA,NA,NA,NA,NA,NA,-122.5789,37.3439
254030,254030,UT,14:17:22 17-Apr-2024,Argos,B,37.3458,-122.5835,1452,7499,281,91,NA,NA,NA,NA,NA,NA,-122.5835,37.3458
254030,254030,UT,15:28:19 17-Apr-2024,Argos,B,37.3474,-122.5845,1815,4644,708,91,NA,NA,NA,NA,NA,NA,-122.5845,37.3474
254030,254030,UT,15:59:52 17-Apr-2024,Argos,B,37.3301,-122.6006,1644,21881,123,101,NA,NA,NA,NA,NA,NA,-122.6006,37.3301
254030,254030,UT,17:12:18 17-Apr-2024,Argos,B,37.3234,-122.6129,1904,5279,686,104,NA,NA,NA,NA,NA,NA,-122.6129,37.3234
254030,254030,UT,18:33:57 17-Apr-2024,Argos,A,37.284,-122.5469,185,390,87,81,NA,NA,NA,NA,NA,NA,-122.5469,37.284
254030,254030,UT,18:51:38 17-Apr-2024,Argos,B,37.2808,-122.5647,442,1427,136,161,NA,NA,NA,NA,NA,NA,-122.5647,37.2808
