DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
254030,254030,UT,17:08:34 12-May-2024,,,B,36.8626,-122.3474,CRC 15.10,17:08:34 12-May-2024,Status,15,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,20:03:06 12-May-2024,,,B,36.9030,-122.3019,CRC 15.1,20:03:06 12-May-2024,Status,15,21,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,01:03:16 13-May-2024,,,1,36.9414,-122.2643,Short Msg Type 7?,,,119,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,13:07:51 13-May-2024,,,1,36.8332,-122.3973,CRC 13.14,13:07:51 13-May-2024,Status,77,152,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,21:15:44 13-May-2024,,,2,36.7780,-122.3031,CRC 0.9,21:15:44 13-May-2024,Status,80,72,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,02:08:31 14-May-2024,,,2,36.7374,-122.3361,CRC 15.10,02:08:31 14-May-2024,Status,95,5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,02:09:07 14-May-2024,,,2,36.7374,-122.3361,CRC 2.4,,,98,136,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,02:14:16 14-May-2024,,,2,36.7374,-122.3361,CRC 10.7,02:14:16 14-May-2024,Status,26,143,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,02:14:16 14-May-2024,,,B,36.7379,-122.3361,CRC 11.4,02:14:16 14-May-2024,Status,27,143,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,04:21:30 14-May-2024,,,B,36.6775,-122.3735,CRC 7.15,,,135,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:59:51 14-May-2024,,,B,36.6901,-122.3990,CRC 13.2,05:59:51 14-May-2024,Status,61,110,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,07:19:13 14-May-2024,,,1,36.6918,-122.4235,CRC 9.10,07:19:13 14-May-2024,Status,57,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,14:18:00 14-May-2024,,,B,36.7738,-122.4069,CRC 11.1,14:18:00 14-May-2024,Status,27,141,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:18:31 14-May-2024,,,3,36.6999,-122.4667,CRC 10.2,18:18:31 14-May-2024,Status,106,136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,18:25:50 14-May-2024,,,3,36.6999,-122.4667,CRC 11.189,18:28:16 14-May-2024,Status,65,112,165,253,232,215,129,19,23,73,196,25,150,121,239,16,1,82,22,201,144,255,128,,,,,,,,,
254030,254030,UT,20:29:04 14-May-2024,,,B,36.7122,-122.5021,CRC 246.244,20:29:04 14-May-2024,Status,94,208,164,240,177,156,10,114,210,204,95,56,0,28,230,207,66,235,179,196,161,180,39,,,,,,,,,
254030,254030,UT,03:19:01 15-May-2024,,,B,36.7090,-122.6221,CRC 15.12,03:19:01 15-May-2024,Status,15,65,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:23:29 15-May-2024,,,A,36.7113,-122.6207,CRC 10.2,03:23:29 15-May-2024,Status,90,188,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,03:59:11 15-May-2024,,,1,36.7165,-122.6122,CRC 9.10,03:59:11 15-May-2024,Status,57,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,07:02:06 15-May-2024,,,1,36.7105,-122.5743,CRC 5.11,,,101,201,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,13:57:36 15-May-2024,,,A,36.6671,-122.4557,CRC 11.10,13:57:36 15-May-2024,Status,27,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,15:30:45 15-May-2024,,,B,36.6516,-122.4167,CRC 226.138,15:33:12 15-May-2024,Status,92,80,165,253,232,151,129,19,23,190,19,28,150,124,65,16,1,99,18,198,240,255,128,,,,,,,,,
254030,254030,UT,17:41:21 15-May-2024,,,B,36.6512,-122.3998,CRC 15.12,17:41:21 15-May-2024,Status,15,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,21:05:14 15-May-2024,,,B,36.6527,-122.3958,CRC 11.7,21:05:14 15-May-2024,Status,27,143,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,01:45:59 16-May-2024,,,A,36.6779,-122.5245,CRC 221.54,01:48:27 16-May-2024,Status,91,176,165,253,232,151,129,19,24,7,6,218,212,127,3,14,1,95,22,134,144,255,144,,,,,,,,,
254030,254030,UT,05:30:05 16-May-2024,,,B,36.6605,-122.5588,CRC 8.13,,,8,169,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254030,254030,UT,05:32:23 16-May-2024,,,B,36.6605,-122.5588,CRC 15.0,05:32:23 16-May-2024,Status,15,3,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
